CODE_QUARTIER;INCOME_1;INCOME_2;INCOME_3;INCOME_4;INCOME_5;INCOME_6;INCOME_7;INCOME_8;INCOME_9;INCOME_10;INCOME_11;INCOME_12;INCOME_13;INCOME_14;INCOME_15;INCOME_16;FAMILIES_1;FAMILIES_2;FAMILIES_3;FAMILIES_4;FAMILIES_5;FAMILIES_6;FAMILIES_7;FAMILIES_8;FAMILIES_9;FAMILIES_10;POP_IN_LABOUR_FORCE_CIVIL_EMP;POP_IN_LABOUR_FORCE_CIVIL_UNEMP;POP_IN_LABOUR_FORCE_ARME;POP_OUT_LABOUR_FORCE;OCC_1;OCC_2;OCC_3;OCC_4;OCC_5;IND_1;IND_2;IND_3;IND_4;IND_5;IND_6;IND_7;IND_8;IND_9;IND_10;IND_11;IND_12;IND_13;WORKER_1;WORKER_2;WORKER_3;WORKER_4;0_VEHICLE;1_VEHICULE;2_VEHICULE;3_MORE_VEHICULE;SEXE_M;SEXE_F;TR1_AGE ;TR2_AGE ;TR3_AGE ;TR4_AGE ;TR5_AGE ;TR6_AGE ;TR7_AGE ;TR8_AGE ;TR9_AGE ;TR10_AGE ;TR11_AGE ;TR12_AGE ;TR13_AGE ;RELATION_HOUSEHOLDER;RELATION_SPOSE;RELATION_CHILD;RELATION_OTHER;RELATION_NORELATIVE;RELATION_NORELATIVE_UNMARRIED;SCHOOL_BEFORE;SCHOOL_KINDERGARDEN;SCHOOL_ELEMENTARY;SCHOOL_HIGH;SCHOOL_COLLEGE;EDUC_1;EDUC_2;EDUC_3;EDUC_4;EDUC_5;EDUC_6;EDUC_7;OWNER_OCC;RENTER_OCC;1_UNIT_DET;1_UNIT_ATT;2_UNITS;3_4_UNITS;5_9_UNITS;10_19_UNITS;20_MORE_UNITS;MOBILE_HOME;BOAT_RV_VAN
SI05;569;386;977;1015;1289;2107;2425;2271;1397;909;10716;4461;3036;617;318;1040;247;109;577;732;833;1660;2175;2084;1351;813;17409;1208;0;13335;6880;3266;4714;1258;1291;0;1256;551;251;1700;1413;314;2000;1879;5132;849;920;1144;12480;4105;747;77;1399;4998;5291;1657;18784;20733;2308;2048;2848;2433;2061;4871;5092;5964;3072;2646;3496;1716;962;13345;8478;13352;2525;786;422;605;445;4108;1961;2704;1108;1755;9441;4878;1845;5252;3540;9861;3484;4525;4468;3991;571;91;18;618;0;0
SI14;434;302;396;372;586;844;743;983;412;366;4008;1517;981;420;213;743;247;151;159;280;404;615;583;892;388;314;6344;546;298;4647;2582;1185;1814;429;334;0;347;148;120;829;419;104;831;681;1780;327;271;487;4749;1189;406;0;1129;2200;1654;455;6848;7927;909;977;887;711;941;2157;1809;2220;1082;1094;1090;578;320;5438;3062;4441;1168;373;193;201;217;1462;637;1071;781;888;2569;1866;816;1881;1549;3406;2032;1316;2119;968;170;252;82;1180;28;0
SI24;397;384;594;705;1254;1718;1614;2245;1143;1042;9029;3700;2363;319;163;680;110;270;361;427;809;1351;1144;2010;1049;1021;14802;770;15;10844;5754;2218;4514;1305;1011;20;935;625;288;2021;895;480;1533;1490;3996;761;779;979;10603;3121;1030;48;1221;3764;4388;1723;15087;16844;1482;1513;2031;2220;2047;3060;4202;5158;2528;2367;2795;1702;826;11096;6924;9979;2403;720;377;475;216;2884;1983;2246;1072;1658;7115;3658;1425;4156;3554;8883;2213;4175;3255;2308;287;194;303;1171;4;42
SI36;492;489;851;754;993;1556;971;1372;839;435;6645;2966;2030;675;277;833;96;135;299;456;713;1056;761;1255;782;302;10656;940;106;8987;3982;1752;2832;1298;792;10;1168;360;234;947;760;173;1307;1293;2617;670;499;618;8357;1807;492;0;1548;3787;2467;950;12235;12764;1288;1235;1350;1469;2052;3543;3160;3654;1704;1407;2065;1401;671;8752;4552;7883;2229;763;260;405;399;2025;1218;1921;1039;1393;6042;2837;1073;3393;1828;5817;2935;2704;2377;2132;740;277;155;862;28;0
SI45;333;250;630;651;929;1171;1123;1452;848;494;5832;2659;1948;249;177;657;215;75;328;448;637;864;928;1219;627;474;9551;848;21;6526;3321;1966;2424;961;879;0;721;320;149;687;753;307;1029;1040;2422;660;392;1071;6962;2220;366;3;1060;2984;2676;1161;10290;10918;1509;1299;1151;1295;1351;2380;3142;3718;1275;1229;1559;873;427;7881;4554;6833;1370;531;397;324;155;2017;1153;1481;458;900;5099;3083;1028;2484;1551;5935;1946;3783;1989;1832;298;28;57;411;0;0
SI01;459;274;498;490;814;1500;1517;2112;1192;930;7867;3182;2209;238;103;308;261;52;271;317;529;1177;1214;1924;1068;898;13358;941;0;9084;5248;1957;3956;1276;921;21;1072;349;323;1234;798;362;1841;1143;3825;708;652;1030;9753;2958;647;0;528;2859;4313;2086;14589;14138;1303;1522;2146;1898;2142;3095;4019;4880;2093;1867;2332;1124;306;9786;6415;10512;1222;629;336;202;289;3028;1580;2275;635;1152;6702;3866;1324;3841;2196;8044;1742;5011;2082;2873;213;0;22;110;12;29
SI11;293;185;520;392;665;1388;1087;1426;743;923;6196;2213;1573;277;58;443;123;37;276;253;570;1113;904;1272;708;851;10411;618;0;7595;4034;1436;2667;1323;951;0;1228;292;123;980;761;239;991;1343;2565;521;631;737;7762;2201;448;0;446;2190;3446;1540;12491;11592;1494;1965;1682;1548;1512;2976;4070;3959;1301;1073;1661;638;204;7622;4971;8524;1321;649;207;443;681;2544;1581;1253;475;1131;4867;3463;1158;2969;1819;6001;1621;3710;2074;2202;86;91;74;0;7;0
SI25;274;214;650;655;910;1378;1083;1675;708;647;5980;3205;2363;420;145;751;15;108;207;328;636;1045;884;1504;678;620;9956;806;0;7327;3289;2033;2918;918;798;6;692;347;154;887;701;252;1268;1151;2703;600;356;839;7433;2270;253;0;1116;3073;2834;1171;10428;11610;1201;1196;1330;1241;1084;2593;3232;3025;1301;1548;2179;1549;559;8194;4796;7255;1330;405;162;367;189;2139;1153;1368;665;1108;5107;3294;1221;2686;1905;5674;2520;2913;2423;1693;214;71;140;1199;80;0
SI32;271;345;220;410;516;1237;962;1421;755;808;5795;1769;1219;260;83;274;175;265;110;323;345;885;795;1377;747;714;9180;470;56;5936;3354;1416;2635;1170;605;0;976;195;232;1108;499;265;1068;735;2231;627;461;783;6827;1939;335;79;460;2127;3177;1181;9766;10172;1019;1612;1370;1007;1205;2671;2951;2926;1476;1434;1587;539;141;6945;4764;7190;754;251;133;340;368;2260;939;1220;522;565;4651;2883;1327;2216;1561;5697;1248;2735;2173;2229;33;32;10;6;7;0
SI48;315;186;472;429;543;1468;1632;2256;829;675;7289;2557;1861;184;63;258;175;40;235;226;404;1015;1338;1998;795;644;11901;1075;13;6971;4504;1661;3483;1263;990;24;720;353;206;1220;1157;359;1441;1323;3206;593;441;858;8945;2690;248;18;349;3167;3840;1449;12124;12675;1202;1406;1647;2034;1377;3187;3888;3705;1776;1996;1712;599;270;8805;5787;8785;1030;362;210;235;293;2511;1567;1788;494;813;5682;3271;1467;3430;1976;7505;1300;2011;4920;2194;42;0;13;8;0;0
SI54;363;476;834;868;1156;2256;2747;3653;1768;1168;12153;5182;3945;576;172;749;129;123;339;465;841;2016;2254;2998;1545;1159;19796;1461;28;13732;7750;3279;5439;1654;1674;0;1225;682;484;1795;1431;545;2642;2363;5153;1011;829;1636;13969;5138;680;9;1160;5438;6037;2654;21259;22168;2181;2769;2847;2927;2627;4632;6524;7139;2999;2825;3646;1770;541;15289;9820;15274;2006;979;598;718;574;4417;2471;2914;673;1470;10966;5811;2511;5090;3555;12954;2335;5287;6013;3310;410;294;180;213;9;0
SI99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BK99;0;0;0;36;46;56;0;19;7;6;153;47;28;36;0;82;27;19;0;19;0;7;0;0;0;0;218;19;0;63;95;72;51;0;0;0;0;7;0;0;0;15;0;47;49;30;7;63;155;63;0;0;117;26;27;0;180;236;28;25;45;30;37;120;20;60;23;11;0;17;0;170;8;124;12;102;102;0;0;70;30;0;0;73;43;7;0;75;53;27;143;0;0;0;63;11;6;74;27;0
BX98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8821;920;0;0;0;1475;2051;2668;1887;1281;227;96;44;12;0;0;0;0;0;0;0;0;0;0;0;0;654;3631;1063;646;94;115;12;0;0;0;0;0;0;0;0;0;0;0
BX06;2201;1208;1374;1248;953;864;240;145;86;0;5322;1794;833;1215;1076;3957;931;771;1005;737;633;512;183;94;56;0;8709;1157;0;9591;1589;2986;2078;708;1348;90;470;295;101;1110;486;135;643;677;2494;1174;858;176;7223;900;586;0;6592;1490;147;90;12173;13610;2145;2206;1675;3139;4027;3284;3332;2407;847;750;1138;674;159;8319;1467;8987;2435;1675;662;357;365;3296;1462;4597;2949;2233;3297;2086;674;759;593;385;7934;120;83;681;746;586;1581;5527;0;0
BX17;3827;2043;2361;1586;1619;1381;807;476;132;13;9047;3022;751;2764;1945;7300;2126;1185;1739;1127;1175;935;853;281;113;0;13587;3147;45;13895;2386;5254;3544;688;1715;15;441;438;237;1965;843;236;1055;953;4482;1452;1045;425;10718;2071;789;9;10797;2963;437;48;18907;22964;3541;3477;3500;4179;3995;5572;5275;5255;2138;1570;1969;1035;365;14245;2345;17430;4497;2128;996;708;840;5777;3437;2291;4848;4364;6483;3578;1665;1832;409;1031;13214;304;410;867;1078;585;944;11227;52;28
BX26;2480;1447;2644;1594;1665;1459;960;407;21;34;9201;2363;968;2080;1433;6118;1164;895;1831;1121;1143;1037;614;342;0;34;13230;2796;0;11048;2169;5118;3173;810;1960;12;522;658;258;1637;1079;241;903;966;3932;1592;1089;341;10434;1780;1016;0;9090;3181;372;68;17461;19604;2983;3589;2917;3331;2782;5724;5096;4771;1724;1527;1613;835;173;12711;2547;14752;4203;2089;832;689;720;5212;2738;2250;4178;3606;5945;4051;1524;1459;700;605;12106;264;133;720;622;486;771;10459;8;11
BX63;2027;1504;1923;1942;2088;2057;733;429;85;7;9824;2299;931;1646;1203;5734;1260;1020;1386;1517;1549;1389;526;314;65;0;15934;2566;61;10199;1996;6895;3788;1282;1973;11;601;890;281;2352;1048;157;707;1318;4948;2062;1263;296;12842;2007;1085;0;9675;2708;394;18;18695;20985;3568;3083;3640;3082;2901;6143;6091;5098;2084;1603;1546;678;163;12795;3217;15151;5946;2481;1244;761;707;5782;2279;2680;5255;3893;6392;3984;1325;1900;657;371;12424;73;50;298;355;311;291;12103;72;43
BX99;55;33;74;28;100;86;49;38;3;16;397;72;32;43;7;126;8;23;17;37;65;65;31;15;3;0;600;94;0;313;170;208;178;8;36;0;0;22;25;62;31;17;31;69;249;49;19;26;471;105;24;0;229;223;30;0;643;734;136;123;76;101;54;213;220;146;116;83;65;27;17;482;132;317;150;63;43;62;43;136;94;36;112;129;217;184;61;130;54;137;345;25;0;21;15;0;6;474;0;0
MN99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;151;0;1207;15;63;18;11;7;3;4;4;5;7;6;0;0;23;20;38;4;0;100;14;0;0;0;0;0;0;1216;267;0;0;3;8;49;340;291;402;190;94;48;43;15;0;0;0;0;0;0;0;0;0;45;30;251;371;498;176;41;67;19;0;0;10;0;0;0;0;0;0;0;0
QN99;0;26;20;0;22;11;26;53;4;0;102;60;25;0;0;0;0;0;4;0;9;11;26;43;4;0;174;24;0;179;72;37;28;37;0;0;27;10;0;0;0;0;9;42;83;0;0;3;129;32;13;0;80;70;12;0;196;242;24;19;18;28;26;47;20;89;27;17;22;48;53;162;75;90;15;9;0;15;0;37;9;37;33;55;46;50;37;74;28;100;62;8;4;45;10;19;31;56;0;0
QN98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
