"","type","name","lat","lon"
"277","station","W 38 St & 8 Ave",40.75466591,-73.99138152
"278","station","W 43 St & 6 Ave",40.75527307,-73.98316936
"279","station","W 34 St & 11 Ave",40.75594159,-74.0021163
"280","station","E 33 St & 5 Ave",40.74765947,-73.98490707
"281","station","E 33 St & 2 Ave",40.744023,-73.976056
"282","station","2 Ave & E 31 St",40.74290902,-73.97706058
"283","station","W 42 St & 8 Ave",40.7575699,-73.99098507
"284","station","11 Ave & W 59 St",40.771522,-73.990541
"285","station","Forsyth St & Broome St",40.71893904,-73.99266288
"286","station","S 5 Pl & S 4 St",40.710451,-73.960876
"287","station","Broadway & W 39 St",40.75299641,-73.98721619
"288","station","Water - Whitehall Plaza",40.70255065,-74.0127234
"289","station","1 Ave & E 30 St",40.74144387,-73.97536082
"290","station","Lexington Ave & E 24 St",40.74025878,-73.98409214
"291","station","Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116
"292","station","Lexington Ave & E 29 St",40.7431155537649,-73.9821535348892
"293","station","E 23 St & 1 Ave",40.736502,-73.97809472
"294","station","E 30 St & Park Ave S",40.74444921,-73.98303529
"295","station","Front St & Washington St",40.70255088,-73.98940236
"296","station","Sands St & Navy St",40.699773,-73.979927
"297","station","Wythe Ave & Metropolitan Ave",40.716887,-73.963198
"298","station","1 Ave & E 18 St",40.7338121919663,-73.9805442094803
"299","station","6 Ave & Broome St",40.724399,-74.004704
"300","station","Railroad Ave & Kay Ave",40.70531194,-73.97100056
"301","station","Central Park S & 6 Ave",40.76590936,-73.97634151
"302","station","Little West St & 1 Pl",40.70569254,-74.01677685
"303","station","Catherine St & Monroe St",40.71117444,-73.99682619
"304","station","Grand St & Greene St",40.72165481,-74.00234737
"305","station","E 27 St & 1 Ave",40.739445,-73.976806
"306","station","E 43 St & 2 Ave",40.75022392,-73.97121414
"307","station","W 45 St & 8 Ave",40.75929124,-73.98859651
"308","station","E 60 St & York Ave",40.759107,-73.959223
"309","station","E 55 St & Lexington Ave",40.75968085,-73.97031366
"310","station","South End Ave & Liberty St",40.711512,-74.015756
"311","station","Kent Ave & N 7 St",40.7203677529846,-73.9616507291794
